,Country,TradeValue,Year,Month,TransactionType
245,Colombia,110049685,2020,11,Import
246,Colombia,92130418,2020,12,Export
247,Colombia,147759650,2020,12,Import
248,Colombia,100006828,2021,01,Export
249,Colombia,139171800,2021,01,Import
250,France,292375690,2019,01,Import
251,France,475316954,2019,01,Export
252,France,270445050,2019,02,Import
253,France,402118130,2019,02,Export
254,France,404023742,2019,03,Import
255,France,553653167,2019,03,Export
256,France,285077637,2019,04,Import
257,France,403395450,2019,04,Export
258,France,277613184,2019,05,Import
259,France,453880108,2019,05,Export
260,France,333937932,2019,06,Import
261,France,453624791,2019,06,Export
262,France,305762059,2019,07,Import
263,France,428737345,2019,07,Export
264,France,453059468,2019,08,Export
265,France,332310594,2019,08,Import
266,France,336973791,2019,09,Import
267,France,373154216,2019,09,Export
268,France,306050891,2019,10,Import
269,France,451009841,2019,10,Export
270,France,346659216,2019,11,Import
271,France,522261195,2019,11,Export
272,France,335140987,2019,12,Import
273,France,463141273,2019,12,Export
274,France,306730493,2020,01,Import
275,France,413953122,2020,01,Export
276,France,442505505,2020,02,Export
277,France,298502361,2020,02,Import
278,France,235537010,2020,03,Import
279,France,334217504,2020,03,Export
280,France,109170115,2020,04,Export
281,France,143873381,2020,04,Import
282,France,237378800,2020,05,Export
283,France,220675568,2020,05,Import
284,France,297397700,2020,06,Export
285,France,261703641,2020,06,Import
286,France,265983986,2020,07,Import
287,France,407626060,2020,07,Export
288,France,199196503,2020,08,Import
289,France,374386506,2020,08,Export
290,France,395973320,2020,09,Export
291,France,248438442,2020,09,Import
292,France,397731510,2020,10,Export
293,France,237422149,2020,10,Import
294,France,410139419,2020,11,Export
295,France,236696184,2020,11,Import
296,France,547323708,2020,12,Export
297,France,337057787,2020,12,Import
298,France,567897424,2021,01,Export
299,France,354806983,2021,01,Import
300,Germany,1213960247,2019,01,Import
301,Germany,719397073,2019,01,Export
302,Germany,879552665,2019,02,Import
303,Germany,752482634,2019,02,Export
304,Germany,1197357679,2019,03,Import
305,Germany,836516941,2019,03,Export
306,Germany,1007311740,2019,04,Import
307,Germany,658312807,2019,04,Export
308,Germany,1191922173,2019,05,Import
309,Germany,745698297,2019,05,Export
310,Germany,979046225,2019,06,Import
311,Germany,720039223,2019,06,Export
312,Germany,1024632880,2019,07,Import
313,Germany,729688365,2019,07,Export
314,Germany,703854548,2019,08,Export
315,Germany,1082506853,2019,08,Import
316,Germany,934047268,2019,09,Import
317,Germany,673540705,2019,09,Export
318,Germany,891099564,2019,10,Import
319,Germany,671818976,2019,10,Export
320,Germany,893113551,2019,11,Import
321,Germany,612733390,2019,11,Export
322,Germany,979294158,2019,12,Import
323,Germany,746668068,2019,12,Export
324,Germany,995620995,2020,01,Import
325,Germany,741059975,2020,01,Export
326,Germany,718649654,2020,02,Export
327,Germany,980923689,2020,02,Import
328,Germany,565289967,2020,03,Export
329,Germany,709003709,2020,03,Import
